Cluster ID,confidence_score,index,subject,predicate,object,sentence_id,sentence
0,0.8419922691267033,0,德国,产国,Sd Kfz 251,0,该车是对战前德国Sd Kfz 251半履带式装甲车改进而成，改进项目包括用太脱拉(Tatra)88kW(120马力)的柴油机替代88kW的汽油机，将原敞开式载员舱附加了顶装甲。60年代作为装甲人员输送车，该车虽被OT-64(8×8)装甲车取代，但今天仍在陆军中装备，作反坦克车使用。
0,0.8419922691267033,1,德国,产国,Sd Kfz 251,0,该车是对战前德国Sd Kfz 251半履带式装甲车改进而成，改进项目包括用太脱拉(Tatra)88kW(120马力)的柴油机替代88kW的汽油机，将原敞开式载员舱附加了顶装甲。60年代作为装甲人员输送车，该车虽被OT-64(8×8)装甲车取代，但今天仍在陆军中装备，作反坦克车使用。
0,0.7791916751926983,2,装甲车,型号,Sd Kfz 251,0,该车是对战前德国Sd Kfz 251半履带式装甲车改进而成，改进项目包括用太脱拉(Tatra)88kW(120马力)的柴油机替代88kW的汽油机，将原敞开式载员舱附加了顶装甲。60年代作为装甲人员输送车，该车虽被OT-64(8×8)装甲车取代，但今天仍在陆军中装备，作反坦克车使用。
1,0.81861275738812,3,4000,最大射程,红箭-8L反坦克导弹,1,红箭-8L反坦克导弹：被称为一名士兵就可携带和操作的反坦克导弹，提高了抗干扰能力，并改进了夜间作战性能，而且兼容发射射程3000米和4000米的二种红箭-8反坦克导弹，单从射程上来看，该导弹是世界同类便携式导弹中的佼佼者·有效攻击距离远达4000米·
1,0.81861275738812,4,3000米,最大射程,红箭-8L反坦克导弹,1,红箭-8L反坦克导弹：被称为一名士兵就可携带和操作的反坦克导弹，提高了抗干扰能力，并改进了夜间作战性能，而且兼容发射射程3000米和4000米的二种红箭-8反坦克导弹，单从射程上来看，该导弹是世界同类便携式导弹中的佼佼者·有效攻击距离远达4000米·
1,0.81861275738812,5,4000米,最大射程,红箭-8L反坦克导弹,1,红箭-8L反坦克导弹：被称为一名士兵就可携带和操作的反坦克导弹，提高了抗干扰能力，并改进了夜间作战性能，而且兼容发射射程3000米和4000米的二种红箭-8反坦克导弹，单从射程上来看，该导弹是世界同类便携式导弹中的佼佼者·有效攻击距离远达4000米·
2,0.7791916751926983,6,德军,研发单位与厂商,架桥坦克,2,重装集结：二战德军坦克及变型车辆全集：Ⅱ号a3型架桥坦克　82
2,0.7915022267179217,7,Ⅱ号,型号,架桥坦克,2,重装集结：二战德军坦克及变型车辆全集：Ⅱ号a3型架桥坦克　82
2,0.7915022267179217,8,a3型,型号,架桥坦克,2,重装集结：二战德军坦克及变型车辆全集：Ⅱ号a3型架桥坦克　82
2,0.7791916751926983,9,二战,投入使用时间,架桥坦克,2,重装集结：二战德军坦克及变型车辆全集：Ⅱ号a3型架桥坦克　82
3,0.7791916751926983,10,德军,研发单位与厂商,喷火坦克,3,重装集结：二战德军坦克及变型车辆全集：I号A型喷火坦克　55
3,0.7791916751926983,11,I号A型,型号,喷火坦克,3,重装集结：二战德军坦克及变型车辆全集：I号A型喷火坦克　55
3,0.7791916751926983,12,二战,投入使用时间,喷火坦克,3,重装集结：二战德军坦克及变型车辆全集：I号A型喷火坦克　55
4,0.7892136513025316,13,50 千米 /400 千,最大速度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
