Cluster ID,confidence_score,index,subject,predicate,object,label
0,0.8738750804266894,0,象式坦克运输车,产国,德国,主战坦克
0,0.8738750804266894,1,象式坦克运输车,产国,德国,主战坦克
0,0.8738750804266894,2,象式坦克运输车,产国,德国,主战坦克
0,0.8738750804266894,3,象式坦克运输车,产国,德国,主战坦克
0,0.8738750804266894,4,象式坦克运输车,产国,德国,主战坦克
0,0.8738750804266894,5,象式坦克运输车,产国,德国,主战坦克
0,0.8754846316017795,6,象式坦克运输车,型号,福恩SLT-50象式坦克运输车,主战坦克
0,0.8754846316017795,7,象式坦克运输车,型号,福恩SLT-50象式坦克运输车,主战坦克
0,0.8754846316017795,8,象式坦克运输车,型号,福恩SLT-50象式坦克运输车,主战坦克
0,0.8754846316017795,9,象式坦克运输车,型号,SLT-50象式坦克运输车,主战坦克
0,0.8754846316017795,10,象式坦克运输车,型号,SLT-50象式坦克运输车,主战坦克
0,0.8754846316017795,11,象式坦克运输车,型号,SLT-50象式坦克运输车,主战坦克
0,0.8769666481503675,12,象式坦克运输车,研发时间,1965年,主战坦克
0,0.8769666481503675,13,象式坦克运输车,研发时间,1965年,主战坦克
0,0.8769666481503675,14,象式坦克运输车,研发时间,1965年,主战坦克
0,0.8769666481503675,15,象式坦克运输车,投入使用时间,1976,主战坦克
0,0.8769666481503675,16,象式坦克运输车,投入使用时间,1976,主战坦克
0,0.8769666481503675,17,象式坦克运输车,投入使用时间,1976,主战坦克
