index,subject,predicate,object,label
0,霍特斯轻骑兵轮式装甲人员输送车,研发单位与厂商,霍特斯伯装甲产品有限公司,装甲运兵车
1,雷达车,型号,FV436,装甲运兵车
2,雷达车,型号,FV432,装甲运兵车
3,霍特斯轻骑兵轮式装甲人员输送车,长度,　5.994m,装甲运兵车
4,霍特斯轻骑兵轮式装甲人员输送车,长度,车长　5.994m,装甲运兵车
5,T-44坦克,产国,德国,主战坦克
6,T-44坦克,口径,85毫米口径,主战坦克
7,装,型号,OT-64(,特种坦克
8,红箭-8L反坦克导弹,最大射程,4000,反坦克炮
9,红箭-8L反坦克导弹,最大射程,3000米,反坦克炮
10,红箭-8L反坦克导弹,最大射程,4000米,反坦克炮
11,架桥坦克,研发单位与厂商,德军,特种坦克
12,架桥坦克,型号,Ⅱ号a3型,特种坦克
13,架桥坦克,投入使用时间,二战,特种坦克
14,喷火坦克,研发单位与厂商,德军,特种坦克
15,喷火坦克,型号,I号A型,特种坦克
16,喷火坦克,投入使用时间,二战,特种坦克
17,履带式装甲人员输送车,重量,15.5t,装甲运兵车
18,T-54,最大速度,50 千米,主战坦克
19,T-54型主战坦克,最大速度,50 千米,主战坦克
20,T-54,宽度,6.2 米,主战坦克
21,T-54型主战坦克,宽度,6.2 米,主战坦克
22,T-54,宽度,3.27 米,主战坦克
23,T-54型主战坦克,宽度,3.27 米,主战坦克
24,T-54型主战坦克,长度,6.2 米,主战坦克
25,T-54型主战坦克,长度,9 米,主战坦克
26,T-54型主战坦克,高度,2.4 米,主战坦克
27,T-54,重量,36000 千克,主战坦克
28,T-54型主战坦克,重量,36000 千克,主战坦克
29,VFM5轻型坦克样车,产国,英国维克斯公司,主战坦克
30,VFM5轻型坦克样车,产国,美国食品机械化学公司,主战坦克
31,VFM5轻型坦克样车,研发单位与厂商,维克斯公司,主战坦克
32,坦克样车,研发单位与厂商,维克斯公司,主战坦克
33,VFM5轻型坦克样车,研发时间,1986,主战坦克
34,反坦克炮,口径,75毫米,高射炮
35,火炮,口径,75毫米,高射炮
36,反坦克炮,口径,37,高射炮
37,火炮,口径,37,高射炮
38,反坦克炮,口径,45毫米,高射炮
39,火炮,口径,45毫米,高射炮
