Cluster ID,confidence_score,index,subject,predicate,object,label
0,0.8672708338030103,0,苏-,产国,俄,主战坦克
0,0.8672708338030103,1,苏-,产国,俄,主战坦克
0,0.8672708338030103,2,苏-,产国,俄,主战坦克
1,0.8735709925686647,3,歼-16,产国,俄,主战坦克
1,0.8735709925686647,4,歼-16,产国,俄,主战坦克
1,0.8735709925686647,5,歼-16,产国,俄,主战坦克
2,0.8735709925686647,6,J-16 multirole fighter,产国,俄,主战坦克
2,0.8735709925686647,7,J-16 multirole fighter,产国,俄,主战坦克
2,0.8735709925686647,8,J-16 multirole fighter,产国,俄,主战坦克
0,0.8672708338030103,9,苏-,产国,中国,主战坦克
0,0.8672708338030103,10,苏-,产国,中国,主战坦克
0,0.8672708338030103,11,苏-,产国,中国,主战坦克
1,0.8714080298932609,12,歼-16,产国,中国,主战坦克
1,0.8714080298932609,13,歼-16,产国,中国,主战坦克
1,0.8714080298932609,14,歼-16,产国,中国,主战坦克
2,0.8714080298932609,15,J-16 multirole fighter,产国,中国,主战坦克
2,0.8714080298932609,16,J-16 multirole fighter,产国,中国,主战坦克
2,0.8714080298932609,17,J-16 multirole fighter,产国,中国,主战坦克
1,0.8714080298932609,18,歼-16,研发单位与厂商,中国,主战坦克
1,0.8714080298932609,19,歼-16,研发单位与厂商,中国,主战坦克
1,0.8714080298932609,20,歼-16,研发单位与厂商,中国,主战坦克
2,0.8714080298932609,21,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
2,0.8714080298932609,22,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
2,0.8714080298932609,23,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
1,0.8735709925686647,24,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
1,0.8735709925686647,25,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
1,0.8735709925686647,26,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
2,0.8735709925686647,27,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
2,0.8735709925686647,28,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
2,0.8735709925686647,29,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
